ID,rule_1_1,rule_1_11,rule_1_13,rule_1_14,rule_1_15,rule_1_15A,rule_1_15B,rule_1_16,rule_1_2,rule_1_3,rule_1_4,rule_1_5,rule_1_6,rule_1_7,rule_1_8,rule_1_9,rule_2_1,rule_2_2,rule_2_3,rule_2_4,rule_3_1,rule_3_2,rule_3_3,rule_3_4,rule_3_5,rule_3_6,rule_3_7,rule_3_8,rule_3_9,rule_4_1,rule_4_2,rule_4_3,rule_4_4,rule_5_1,rule_5_2,rule_5_3,rule_5_4,rule_5_5,rule_5_6,rule_5_7,rule_5_8,rule_6_1,rule_6_2,rule_6_3,rule_6_4,rule_6_5,rule_7_1,rule_7_2,rule_7_3,rule_7_4,rule_7_5,rule_7_6,rule_8_1,rule_8_2,rule_8_4,rule_8_4a,rule_8_4b,rule_8_4c,rule_8_4d,rule_8_4i,rule_8_4j,rule_8_4k,rule_8_4l,rule_8_4n,rule_8_5,PC1,PC2,PC3,PC4,PC5,PC6
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.0092406301,-.6314519,.44694033,-2.5070567,.65575826,.18681608
18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.065915249,-.35564274,.16741039,-.61083758,.8375982,-.14723043
19,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.3841572,1.3543367,-.94979286,1.3495044,-.15221685,.77698147
20,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.6168315,.087195419,.2334937,.59083647,-.47780618,-.28176761
21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,-5.5833344,.51816547,1.1998173,.76281446,-.41318575,.79515761
22,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.086686738,.60221744,-1.0101882,.99577212,.14188242,-.25119615
23,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0484278,2.2751474,-.7810272,1.3471719,-.12381515,.54085046
24,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,-5.0366778,2.8340986,1.2832727,.81351829,-1.0618602,-.92727888
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-2.8557332,-.76447344,.51869148,-.37551847,-.5372746,.067467384
26,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.061464369,.49629769,-.9116261,.63227326,-.86707032,1.0017607
